variedad,color_grupo,color_hex,cluster,r_mean,g_mean,b_mean,h_mean,s_mean,v_mean,n_imagenes
V11,Naranja brillante,#77604C,0,128.82089210356264,107.73024566876789,83.78163858718028,15.744774983960157,94.5586913804602,128.82100773883118,50
V2,Naranja brillante,#77604C,0,105.77653236335058,88.64719394512244,67.11895107496407,16.88418209636387,97.44760453151277,105.78266405273543,57
V19,Naranja brillante,#77604C,0,116.32363036334922,91.37028856651739,75.60509417164052,14.068790728782192,94.93104904414888,116.32386243353298,50
V25,Naranja brillante,#77604C,0,127.0398230371044,95.1565895022964,84.48303403181303,10.877166301703301,88.6454916281154,127.03998332302139,50
V27,Naranja brillante,#77604C,0,109.56927728422937,82.94321418915224,67.65395635173854,10.840480594531101,105.02270810431187,109.56928559303793,67
V48,Naranja brillante,#77604C,0,109.97475510160542,90.67757533602341,67.5191618628661,16.232175660798596,106.87950597724267,109.97526118351462,52
V51,Naranja brillante,#77604C,0,107.4604201858758,83.27499976093821,73.22335410554724,13.188584090518715,84.62148975816733,107.46866119989892,73
V65,Naranja brillante,#77604C,0,115.84454732365504,94.16089780943298,80.11608066013663,12.0718887078814,84.96866330017188,115.84454732365504,66
V54,Naranja brillante,#77604C,0,110.47704892685513,86.88832159786116,66.63070878035725,15.003206065847237,103.78190522968212,110.48290167953255,50
V56,Naranja brillante,#77604C,0,109.80339633713628,90.18758145648982,72.02757991866906,17.149077955572686,87.33909167669658,109.84430947695674,50
V67,Naranja brillante,#77604C,0,127.58492499576037,107.29823894527583,80.89584974153668,16.99153781872371,100.8891541090109,127.58499507161748,53
V66,Naranja brillante,#77604C,0,124.68737609586648,101.59579644641032,77.76835366870336,15.297744763269575,103.82155870307108,124.6885547916078,52
V49,Naranja brillante,#77604C,0,119.30491414299884,95.86821122448616,86.14592118934806,9.964252753004878,73.33943977167962,119.30673073697872,73
V42,Naranja brillante,#77604C,0,138.7258397312596,120.63566133169128,96.00530202182256,17.017742182524298,81.56218750081939,138.72618747923102,69
V69,Naranja brillante,#77604C,0,113.80297238682216,87.87557487963193,68.47927651929446,13.810023473019395,109.987826559014,113.81184563278146,71
V68,Naranja brillante,#77604C,0,126.47103519259721,105.46576619075817,78.6957012531602,17.11527614351618,102.30363492401584,126.47117943545709,76
V77,Naranja brillante,#77604C,0,125.51043527928056,93.24129416549015,73.49649622233004,11.178407627660853,111.80615219544444,125.51046406785723,26
V81,Naranja brillante,#77604C,0,119.14163197538706,98.23357217832422,73.28903196491505,16.59005162209328,106.24874768704254,119.14304344417566,98
V72,Naranja brillante,#77604C,0,112.2101745562044,89.85564020607089,77.49756020181248,13.563962373917546,85.14520378656721,112.21908271606083,64
V73,Naranja brillante,#77604C,0,140.86918850704654,99.66273815669003,78.32196078123465,11.15045875682642,118.40548358387767,140.87633434736222,52
V71,Naranja brillante,#77604C,0,117.00250361511405,88.88273298963944,70.0678625565322,12.405467697756322,108.0188432760087,117.00698540750818,74
V83,Naranja brillante,#77604C,0,111.47341077176367,94.88814008450495,72.55114452864004,17.73785464917269,98.02747990444738,111.47952799122994,46
V9,Naranja brillante,#77604C,0,116.83673946025836,95.5702611922736,75.27027560314106,15.079798319586963,96.96583105854326,116.83832369386522,50
V84,Naranja brillante,#77604C,0,138.0947344895636,111.84573913444376,82.61998394631475,15.597418257817127,107.32697640471284,138.09509471383242,46
V7,Naranja brillante,#77604C,0,113.47275978103184,93.25568870128097,72.40290449486317,15.37699265156498,95.4140133738581,113.47651100794218,49
V58,Azul/Morado,#544A48,1,72.92151509591586,65.48829414208515,62.438646130630666,54.58669583794317,45.77175025517091,73.81230245515317,49
V17,Azul/Morado,#544A48,1,78.48741081411679,76.99027776906426,76.80813891927576,68.79343653078212,11.517870799393172,79.00811634029486,50
V26,Azul/Morado,#544A48,1,100.25405530010073,79.33135827746445,76.17140712310969,43.97659163348126,66.72952486999505,100.25538015400323,50
V60,Naranja brillante,#58483C,2,73.73433874403828,59.654307709309116,49.60041832521868,12.99497469577967,90.71383535792116,73.73445312190233,47
V41,Naranja brillante,#58483C,2,96.63250287179066,76.69524788928955,60.13461840611748,13.553376208987132,104.22388496399589,96.63319494572195,66
V52,Naranja brillante,#58483C,2,103.65093174144424,84.24821913414854,72.40784684023426,12.432588732032448,82.18001845832491,103.65424558537394,62
V46,Naranja brillante,#58483C,2,100.4816882730997,86.72654306001309,69.15531619350666,16.586419014990835,88.70808758709416,100.48204603615842,53
V61,Naranja brillante,#58483C,2,81.47315987802098,66.56439453899628,55.09562345323365,15.176908060934634,95.20131153583674,81.4867634660923,52
V62,Naranja brillante,#58483C,2,92.00434538307269,71.13400773709938,57.09851589850207,12.096940321082387,108.4733241601674,92.00581068037324,52
V6,Naranja brillante,#58483C,2,75.51886723457828,65.97953523497415,57.74068638090454,17.870558700280114,67.00308757003408,75.52632490467391,50
V8,Naranja brillante,#58483C,2,72.75623163142032,62.02527074817547,54.23495481495618,26.762291126886666,69.99362481934558,72.78283105714576,50
V80,Naranja brillante,#58483C,2,73.1855138764896,59.63672945826547,50.49079555427372,12.109551144496468,90.12492341378999,73.18555460968714,25
V5,Naranja brillante,#58483C,2,89.0580953266546,74.66512369280694,59.25235040588495,15.712291478084643,93.16046818738953,89.05996826861862,48
V4,Naranja brillante,#58483C,2,84.53176975195953,73.61883016513201,62.01106708015744,21.247750138782347,75.95007557071293,84.7202993244039,54
V20,Naranja brillante,#58483C,2,98.60237180173739,82.19071219560804,72.00346181024595,14.77176873344133,75.21049301442214,98.60242671723292,50
V31,Naranja brillante,#58483C,2,90.28087891626554,68.47180341649577,56.340511764285296,10.83348096537734,103.08726370269564,90.28088205086524,52
V32,Naranja brillante,#58483C,2,92.53621963418584,66.48755756880682,57.46824830003208,13.095135763917103,104.78263334574663,92.54298192434197,50
V36,Naranja brillante,#58483C,2,89.95821227576262,75.47797126550915,65.34780303467974,12.325965591534882,77.24166764763113,89.95831802831181,50
V3,Naranja brillante,#58483C,2,83.47358197560037,69.67777325339833,60.48298379634481,16.363300632088045,78.0556760584897,83.49954157451681,56
V30,Naranja brillante,#58483C,2,94.93176208533279,71.94967323744193,60.438730922910985,11.06773848670413,100.65883084780093,94.93342207207037,51
V1,Naranja brillante,#58483C,2,83.01556055437177,72.75355268331865,60.60204712227726,18.21002799245867,73.9333780872854,83.03963827862988,50
V15,Naranja brillante,#58483C,2,94.90930267616542,72.23253698842001,58.33028093402663,11.545565232556301,108.52216853043399,94.90939288965114,166
V63,Naranja brillante,#58483C,2,98.20775876284323,78.12030525026795,63.752179956651055,14.025766890339044,99.30862187359142,98.20907082202598,70
V82,Naranja brillante,#58483C,2,89.28241940699667,76.68025616516283,65.25278554022151,14.981352351711067,75.36422123387787,89.29314374810774,73
V79,Naranja brillante,#58483C,2,76.94321105091925,62.421911463933874,51.68879150621233,12.6840392464913,94.98402246502795,76.94328938186752,30
V53,Naranja brillante,#6D4F38,3,118.34425653301601,84.77840983461581,61.38596614533184,16.674349614269662,128.4254827791964,118.35356505334758,50
V14,Naranja brillante,#6D4F38,3,100.411762751571,78.5593266598939,56.32323059536924,15.161644232496684,121.28788405446448,100.41188613388414,141
V44,Naranja brillante,#6D4F38,3,118.77912116971645,86.7002951826843,65.72365914899984,11.817519778375704,123.53817710740353,118.780585052894,66
V45,Naranja brillante,#6D4F38,3,103.9837070339905,85.30632264448448,57.893211284509356,17.517766696198045,123.76114728687669,103.98382116582867,50
V43,Naranja brillante,#6D4F38,3,121.59532478374977,82.32605381720299,52.0573941626982,12.727103789893022,152.65649470522447,121.59538956189374,59
V35,Naranja brillante,#6D4F38,3,100.50919518210989,61.30344331130959,50.104090673742164,10.202167737136955,133.8445498706462,100.50934681358453,50
V22,Naranja brillante,#6D4F38,3,95.24996946331268,65.63392867910075,48.267638599530045,10.965275900082018,133.44091210623841,95.25023387449949,50
V21,Naranja brillante,#6D4F38,3,104.81413406226268,78.10331571077009,55.84286778766252,13.829007152591336,131.9357418036448,104.81638380202848,51
V23,Naranja brillante,#6D4F38,3,102.64252197264913,71.54182778811143,49.441757927918076,12.461150008153407,139.66629633965474,102.64269793792931,50
V38,Naranja brillante,#6D4F38,3,119.72483437764404,93.07347734645063,59.96762749475579,16.54044224586047,133.98002718309914,119.72601445491921,50
V34,Naranja brillante,#6D4F38,3,135.2913571044975,99.75467663131869,56.87084928399261,16.22686563948848,155.36537974377129,135.29146534553996,50
V24,Naranja brillante,#6D4F38,3,106.44202943227923,78.98269012038591,55.6344973772685,13.65858845115066,130.32283297038103,106.44205753936107,50
V29,Naranja brillante,#6D4F38,3,99.5305246974968,67.79909960296051,59.56596115698555,12.534497614822127,110.87027413030086,99.530642644022,55
V37,Naranja brillante,#6D4F38,3,112.69734901638114,86.38397841517249,56.8426301529113,15.683264975073909,131.84986515218358,112.6980638883463,50
V70,Naranja brillante,#6D4F38,3,106.7570213879988,72.95259048911385,57.55435618024161,9.772136242269646,128.14988729759204,106.75844054334685,73
V76,Naranja brillante,#6D4F38,3,113.58529013714264,78.88877410572393,61.77550192063741,10.571908285814981,123.61244495373077,113.59142872012127,53
V64,Naranja brillante,#6D4F38,3,102.56586504812157,73.24546789438739,60.41661098371881,9.696466466454341,115.21932720813686,102.56652314601621,68
V75,Naranja brillante,#6D4F38,3,112.74874543156831,80.39546557522107,59.06353140758399,12.522720681791034,130.26508966331693,112.75226887447712,50
V47,Naranja brillante,#6D4F38,3,112.03980085653033,84.07832153665194,59.06519249370926,14.229818663824496,129.53756107254318,112.03989327275337,65
V59,Naranja brillante,#6D4F38,3,95.09064788932265,69.4394311987034,45.476184939574665,14.555969545491847,136.7331987514594,95.0914456252844,85
V39,Amarillo suave,#65584F,4,100.14690158470646,93.73835417278532,82.82977813957804,20.952865753253146,45.56776723704235,100.2055661469644,67
V50,Amarillo suave,#65584F,4,111.18967341490219,90.69432742326347,84.15339545790022,16.764623662858796,65.94098348024309,111.19074775138914,61
V12,Amarillo suave,#65584F,4,98.86350665637522,85.04986571996807,77.628979433187,20.190942535685686,62.45753499652561,98.92590888350534,75
V18,Amarillo suave,#65584F,4,88.55056314369486,78.66344337819004,75.38960443790057,25.400569152269956,44.62115006241763,88.55931718035637,50
V13,Amarillo suave,#65584F,4,92.97166813849677,81.22929028387937,67.03644763248356,20.357131631601565,74.35086577272632,93.07579094968652,75
V16,Amarillo suave,#65584F,4,114.04663201572492,102.98308847736548,95.13447095612693,19.064369318254077,44.5000181370042,114.07969663466532,63
V40,Amarillo suave,#65584F,4,99.91878740654352,93.00069626727985,81.60228154287613,19.61591858798261,48.97126140597593,99.93613134399348,56
V10,Amarillo suave,#65584F,4,106.00122898252002,89.97727870557837,81.92192779807367,14.880858978284147,65.46486974727817,106.00874823216931,76
V28,Amarillo suave,#65584F,4,104.70277773254851,90.72562676373526,77.18844020184794,14.815731517456921,72.38991417315758,104.70531091136544,75
V33,Amarillo suave,#65584F,4,101.1553049112702,79.81434748500942,72.94035461732773,22.3589713945901,79.78517854505354,101.15534715750736,50
V55,Amarillo suave,#65584F,4,98.19403469273067,88.06395189948886,75.3119997994502,25.26126811407188,64.7741626734838,98.93435274571422,50
V57,Amarillo suave,#65584F,4,83.31694953328117,74.14064178002177,66.18883935820548,32.570823667721754,56.06808898484261,83.63480213561407,51
V78,Amarillo suave,#65584F,4,118.01539646895617,100.95321064396008,90.64644698134066,19.682236289508545,64.07023912658582,118.01550125414653,28
